"mass","length","protein_status"
74940,685,"not_secreted"
74929,677,"not_secreted"
74928,675,"not_secreted"
74750,659,"not_secreted"
74578,652,"not_secreted"
74149,657,"not_secreted"
73938,674,"not_secreted"
73678,664,"not_secreted"
73635,659,"not_secreted"
73588,645,"not_secreted"
73396,645,"not_secreted"
73138,674,"not_secreted"
73100,661,"not_secreted"
72844,671,"not_secreted"
72413,644,"not_secreted"
72367,664,"not_secreted"
72193,655,"not_secreted"
71959,650,"not_secreted"
71923,656,"not_secreted"
71851,632,"not_secreted"
71821,656,"not_secreted"
71728,660,"not_secreted"
71697,643,"not_secreted"
71654,656,"not_secreted"
71598,669,"not_secreted"
71390,638,"not_secreted"
71367,631,"not_secreted"
71250,614,"not_secreted"
71168,629,"not_secreted"
70761,651,"not_secreted"
70747,635,"not_secreted"
70729,638,"not_secreted"
70708,629,"not_secreted"
70278,646,"not_secreted"
70192,656,"not_secreted"
70124,618,"not_secreted"
70041,632,"secreted"
69848,630,"secreted"
69848,630,"secreted"
69718,629,"not_secreted"
69639,645,"not_secreted"
69441,636,"not_secreted"
69256,631,"not_secreted"
69060,622,"not_secreted"
68932,621,"not_secreted"
68928,611,"not_secreted"
68899,611,"not_secreted"
68659,614,"not_secreted"
68525,630,"not_secreted"
68421,627,"not_secreted"
68350,602,"not_secreted"
68341,625,"not_secreted"
68317,638,"not_secreted"
68304,616,"not_secreted"
68239,607,"not_secreted"
68135,586,"not_secreted"
68060,627,"not_secreted"
68058,625,"not_secreted"
67961,626,"not_secreted"
67940,634,"not_secreted"
67929,610,"not_secreted"
67811,629,"not_secreted"
67769,594,"not_secreted"
67724,591,"not_secreted"
67633,654,"not_secreted"
67442,615,"not_secreted"
67193,609,"not_secreted"
67017,600,"not_secreted"
66832,594,"not_secreted"
66713,582,"not_secreted"
65965,615,"not_secreted"
65854,604,"not_secreted"
65830,596,"not_secreted"
65707,611,"not_secreted"
65681,606,"not_secreted"
65670,613,"not_secreted"
65662,594,"not_secreted"
65411,613,"not_secreted"
65410,585,"not_secreted"
65144,592,"not_secreted"
65054,594,"not_secreted"
65028,582,"not_secreted"
65012,600,"not_secreted"
64935,594,"not_secreted"
64880,585,"not_secreted"
64772,582,"not_secreted"
64757,579,"not_secreted"
64723,572,"not_secreted"
64683,569,"not_secreted"
64390,587,"not_secreted"
64276,562,"not_secreted"
64239,579,"not_secreted"
63609,567,"not_secreted"
63592,575,"not_secreted"
63538,574,"not_secreted"
63531,584,"not_secreted"
63470,566,"not_secreted"
63388,569,"not_secreted"
63153,558,"not_secreted"
62893,576,"not_secreted"
62868,572,"not_secreted"
62861,556,"not_secreted"
62749,581,"not_secreted"
62730,557,"not_secreted"
62416,562,"not_secreted"
62356,554,"not_secreted"
62230,572,"not_secreted"
62177,563,"not_secreted"
62069,576,"not_secreted"
61965,554,"not_secreted"
61649,569,"not_secreted"
61624,545,"not_secreted"
61591,590,"not_secreted"
61397,575,"not_secreted"
61234,557,"not_secreted"
61028,547,"not_secreted"
61017,546,"not_secreted"
60999,548,"not_secreted"
60979,649,"not_secreted"
60973,516,"not_secreted"
60887,549,"not_secreted"
60839,554,"not_secreted"
60804,552,"not_secreted"
60683,534,"not_secreted"
60482,545,"not_secreted"
60467,551,"not_secreted"
60379,567,"not_secreted"
60265,536,"not_secreted"
60198,534,"not_secreted"
60179,577,"not_secreted"
59883,525,"not_secreted"
59850,551,"not_secreted"
59819,542,"not_secreted"
59741,556,"not_secreted"
59734,536,"not_secreted"
59580,591,"not_secreted"
59534,536,"not_secreted"
59386,526,"not_secreted"
59305,525,"not_secreted"
59278,547,"not_secreted"
59275,528,"not_secreted"
59110,532,"not_secreted"
58840,552,"not_secreted"
58776,516,"not_secreted"
58740,526,"not_secreted"
58672,529,"not_secreted"
58608,514,"not_secreted"
58443,513,"not_secreted"
58296,538,"not_secreted"
58237,536,"not_secreted"
58176,550,"not_secreted"
58131,546,"not_secreted"
58120,533,"not_secreted"
58106,531,"not_secreted"
58055,540,"not_secreted"
57944,507,"not_secreted"
57682,563,"not_secreted"
57612,520,"not_secreted"
57607,519,"not_secreted"
57591,520,"not_secreted"
57566,528,"not_secreted"
57505,526,"not_secreted"
57461,519,"not_secreted"
57458,512,"not_secreted"
57289,521,"not_secreted"
57279,528,"not_secreted"
57198,497,"not_secreted"
57086,533,"not_secreted"
56798,507,"not_secreted"
56560,498,"not_secreted"
56451,523,"not_secreted"
56288,509,"not_secreted"
56217,533,"not_secreted"
56186,502,"not_secreted"
56069,521,"not_secreted"
56033,514,"not_secreted"
55998,515,"not_secreted"
55879,492,"not_secreted"
55864,511,"not_secreted"
55839,520,"not_secreted"
55654,516,"not_secreted"
55618,509,"not_secreted"
55377,525,"not_secreted"
55339,476,"not_secreted"
55318,510,"not_secreted"
55292,504,"not_secreted"
55046,504,"not_secreted"
54922,488,"not_secreted"
54862,509,"not_secreted"
54710,500,"not_secreted"
54662,486,"not_secreted"
54647,505,"not_secreted"
54464,480,"not_secreted"
54460,494,"not_secreted"
54412,471,"not_secreted"
54337,478,"not_secreted"
54326,490,"not_secreted"
54141,468,"not_secreted"
54048,493,"not_secreted"
54011,495,"not_secreted"
53988,468,"not_secreted"
53934,487,"not_secreted"
53819,506,"not_secreted"
53683,474,"not_secreted"
53611,485,"not_secreted"
53608,471,"not_secreted"
53571,488,"not_secreted"
53521,475,"not_secreted"
53442,509,"not_secreted"
53134,486,"not_secreted"
53031,478,"not_secreted"
52703,459,"not_secreted"
52679,465,"not_secreted"
52653,467,"not_secreted"
52589,484,"not_secreted"
52587,483,"not_secreted"
52574,473,"not_secreted"
52362,499,"not_secreted"
52307,473,"not_secreted"
52199,462,"not_secreted"
51942,486,"not_secreted"
51814,487,"not_secreted"
51797,474,"not_secreted"
51734,468,"not_secreted"
51568,473,"not_secreted"
51386,464,"not_secreted"
51219,473,"not_secreted"
51138,460,"not_secreted"
51067,468,"not_secreted"
50888,482,"not_secreted"
50743,465,"not_secreted"
50687,457,"not_secreted"
50490,455,"not_secreted"
50435,450,"not_secreted"
50390,454,"not_secreted"
50371,462,"not_secreted"
50345,464,"not_secreted"
50328,474,"not_secreted"
50283,453,"not_secreted"
50214,456,"not_secreted"
50068,450,"not_secreted"
49979,472,"not_secreted"
49979,462,"not_secreted"
49910,447,"not_secreted"
49874,442,"not_secreted"
49860,450,"not_secreted"
49755,445,"not_secreted"
49657,445,"not_secreted"
49402,453,"not_secreted"
49278,452,"not_secreted"
49194,437,"not_secreted"
49164,432,"not_secreted"
49106,428,"not_secreted"
48955,464,"not_secreted"
48952,449,"not_secreted"
48873,443,"not_secreted"
48769,455,"not_secreted"
48758,447,"not_secreted"
48701,459,"not_secreted"
48672,455,"not_secreted"
48617,424,"not_secreted"
48512,441,"not_secreted"
48162,432,"not_secreted"
48078,453,"not_secreted"
48058,442,"not_secreted"
47907,440,"not_secreted"
47747,435,"not_secreted"
47517,411,"not_secreted"
47424,423,"not_secreted"
47423,408,"not_secreted"
47389,416,"not_secreted"
47129,416,"not_secreted"
47122,445,"not_secreted"
47044,428,"not_secreted"
46987,427,"not_secreted"
46932,417,"not_secreted"
46912,423,"not_secreted"
46756,433,"not_secreted"
46700,437,"not_secreted"
46678,427,"not_secreted"
46677,428,"not_secreted"
46527,424,"not_secreted"
46478,425,"not_secreted"
46434,436,"not_secreted"
46395,421,"not_secreted"
46363,429,"not_secreted"
46354,439,"not_secreted"
46320,427,"not_secreted"
46288,419,"not_secreted"
46239,424,"not_secreted"
46086,411,"not_secreted"
45966,406,"not_secreted"
45950,415,"not_secreted"
45892,418,"not_secreted"
45763,412,"not_secreted"
45748,409,"not_secreted"
45619,406,"not_secreted"
45558,424,"not_secreted"
45273,411,"not_secreted"
45172,409,"not_secreted"
45045,404,"not_secreted"
45039,417,"not_secreted"
45032,412,"not_secreted"
44938,422,"not_secreted"
44920,396,"not_secreted"
44905,422,"not_secreted"
44701,416,"not_secreted"
44518,400,"not_secreted"
44147,419,"not_secreted"
43957,398,"not_secreted"
43785,398,"not_secreted"
43714,386,"not_secreted"
43664,406,"not_secreted"
43507,391,"not_secreted"
43289,384,"not_secreted"
43096,390,"not_secreted"
43036,390,"not_secreted"
42928,390,"not_secreted"
42885,376,"not_secreted"
42848,394,"not_secreted"
42707,389,"not_secreted"
42519,378,"not_secreted"
42293,382,"not_secreted"
42068,385,"not_secreted"
42055,383,"not_secreted"
41874,393,"not_secreted"
41748,394,"not_secreted"
41465,401,"not_secreted"
41419,372,"not_secreted"
41136,371,"not_secreted"
41119,370,"not_secreted"
41119,369,"not_secreted"
41108,373,"not_secreted"
40994,355,"not_secreted"
40941,379,"not_secreted"
40889,360,"not_secreted"
40885,381,"not_secreted"
40839,373,"not_secreted"
40807,370,"not_secreted"
40802,376,"not_secreted"
40749,376,"not_secreted"
40517,372,"not_secreted"
40503,357,"not_secreted"
40483,344,"not_secreted"
40463,356,"not_secreted"
40117,364,"not_secreted"
40102,368,"not_secreted"
40093,359,"not_secreted"
40082,330,"not_secreted"
39754,357,"not_secreted"
39753,363,"not_secreted"
39753,357,"not_secreted"
39632,360,"not_secreted"
39519,358,"not_secreted"
39468,375,"not_secreted"
39310,363,"not_secreted"
39240,345,"not_secreted"
39169,344,"not_secreted"
39163,356,"not_secreted"
39135,358,"not_secreted"
39073,360,"not_secreted"
39026,346,"not_secreted"
38938,368,"not_secreted"
38735,354,"not_secreted"
38599,366,"not_secreted"
38503,358,"not_secreted"
38476,357,"not_secreted"
38429,351,"not_secreted"
38409,338,"not_secreted"
38406,345,"not_secreted"
38286,356,"not_secreted"
38211,327,"not_secreted"
38085,352,"not_secreted"
38069,344,"not_secreted"
38037,353,"not_secreted"
37923,327,"not_secreted"
37891,343,"not_secreted"
37856,339,"not_secreted"
37721,338,"not_secreted"
37620,353,"not_secreted"
37579,340,"not_secreted"
37554,335,"not_secreted"
37537,325,"not_secreted"
37448,331,"not_secreted"
37440,328,"not_secreted"
37432,347,"not_secreted"
37234,329,"not_secreted"
37209,327,"not_secreted"
37208,343,"not_secreted"
37151,328,"not_secreted"
36978,345,"not_secreted"
36859,332,"not_secreted"
36776,330,"not_secreted"
36767,330,"not_secreted"
36686,336,"not_secreted"
36682,316,"not_secreted"
36678,335,"not_secreted"
36466,323,"not_secreted"
36388,315,"not_secreted"
36357,345,"not_secreted"
36322,330,"not_secreted"
36136,315,"not_secreted"
35622,347,"not_secreted"
35609,328,"not_secreted"
35541,324,"not_secreted"
35503,316,"not_secreted"
35463,329,"not_secreted"
35012,320,"not_secreted"
35007,313,"not_secreted"
34891,324,"not_secreted"
34857,304,"not_secreted"
34790,311,"not_secreted"
34634,330,"not_secreted"
34591,323,"not_secreted"
34528,309,"not_secreted"
